REVIEW,SENTIMENT
This is the worst app I've ever used. It won't let me add boarding passes for an existing reservation and checked in for. It would not let me finish the check in process and I had to use the website on a laptop instead. What's the point of offering the app if it's useless?,Negative
"This app sucks so bad that you should consider using west jet. Every second booking the check in is not working, not on the cell phone or i pad. I will consider not flying air canada anymore because of there failing app. Convinence out the window back to old style check in.",Negative
Honestly if I can give this app a zero I would. Nothing but frustration with Air Canada and Aeroplan credentials. I travel often with many airlines and this app has to be the worst. The user interface absolutely useless. So frustrating.,Negative
Worked well until november changeover in software - never works now - need name and booking reference number to do anything - why cant they use flight number or aeroplan number as well - who carries their booking refernce number? Useless app now.,Negative
"This app NEVER works. All you get is ""sorry an error has occurred. We hope to resolve this issue soon. You can't download your boarding pass or check your flight status",Negative
"Tapping ""continue"" button twice causes failure. I was unable to check-in using app. After I checked-in at air Canada web page I cannot add boarding passes to the app.",Negative
You went from being a useable app which allowed you to basically check everything about your flight to basically a bloated app that points to your website. Worst is you are forced to update the app!,Negative
Doesn't work. Keeps giving me an error message every time I look up my flight. I have installed and re-installed several times to no avail.,Negative
What a garbage app. Doesn't update any information (Gate.. seat ) and it keeps giving me an error when adding the boarding pass. Such an embarrassment,Negative
"Like the other reviewers, the app is very difficult as every step taken results in a message informing me that the session is no longer available. Check-in online is easier but another barrier is the app is not compatible on any Samsung device (not available for download to our Samsung tablets from Google Play). This is not good if you have kids!!!!",Negative
"Your app is as bad as your customer service. Absolutely garbage. Will not get another dollar from me after throwing up error codes, and TRIPLE CHARGING ME for a single ticket. And not even giving it to me. Then sitting on hold for 3 HOURS, WHILE OFFERING ""GREAT CUSTOMER SERVICE"" figure it out",Negative
"Has some good features. Tends to crash. The low rating is from the crash that occurred at the critical moment of check in whilst sitting in a remote, non-english speaking, foreign (from our perspective) country.",Negative
"Sadly this app is close to useless. Air Canada used to provide information such as what gate your flight is at, but now nothing that is not on your original ticket, keeps prompting to check-in for flight, but I have.",Negative
Liked the old version. New one can't find my flights to check in most of the time and when it does usually says it failed check-in but seems to have worked anyways. Need to have standby / upgrade and track inbound all linked to boarding pass instead of having to go through multiple menus each time to look,Negative
"I am now in Dutch Carribean and AC website wouldn't let me check flight status for my outbound flight! As soon as I get to AC website, I get a pop-up blocking the screen that travellers from this country have to contact AC reservation... What about Canadians who are here on vacation and what flight status has to do with reservations? Whoever designed this website is an idiot! The Android app is no better, as soon as I start the app it forces me to upgrade and doesn't let me use existing version.",Negative
"Constantly issues. Mobile checkin doesnt work, always crashes, in flight demands doesnt load and recommend to change plugin mid-flight which cant happen. No advance seat selection can be made or eupgrades. The only good thing are the email and mobile nofitications",Negative
"Downloaded this to check in, only to discover it times out on every attempt! Going to check in using an internet browser instead. Keeping this useless app just in case it notifies me of delays or cancellations (doubtful: won't even let me check in)",Negative
Cannot get this stupid thing to work right. It keeps apologizing for errors but doesn't fix them,Negative
Previous app had calendar integration but this version does not which kind of defeats the purpose of having this app.,Negative
Like the new interface however it keeps crashing on my S10+ with Android 10. Only uninstall + reinstall fixes it.,Negative
"Doesn't show you what terminal you are supposed to go to in the Trips section of the app, you have to go to the boarding pass section and it's annoying af",Negative
Barely passable as an app. Almost no functionality.,Negative
Looks alright but there is pertinent information that is no longer available. Digital altitude card doesn't seem to be an option anymore and when you click on your flight if it's going through the states used to inform you if you needed to clear customs. I'm currently going to Vancouver then Las Vegas from Calgary. No idea anymore where I'm going to customs.,Negative
"There are a few things you'd like expect this app to do well 1) Get to your boarding pass....Nope. most of the time I need to click more, boarding passes, then select the correct one (it shows all old ones). There is no easy notification direct to the boarding pass 2) Show your AC status....nope. Nowhere to be found. This caused me an issue when asking a lounge to print me a new boarding pass. They wouldn't without seeing my status... 3) Check in...nope. Most of the time it's missing",Negative
"The app has taken an enormous step backwards in terms of functionally, design, and performance. Why cannot I edit the features of my flight booked through air canada? Why are boarding passes no longer automatically generated? Why is my name misspelled in the app? On Galaxy S10+ the scrolling animations stutter , menus lag ,and the general aesthetic of the app is visually unappealing. How can this be possible? What exactly was wrong with the previous app? This app feels and runs like its 2009.",Negative
"How do you check-in!? Without going to the more options section? It's under the My Flights section, but if you stop checking in and try again later it doesn't show the option to check-in. How useless! Also it doesn't store CC data for faster checkout when booking a flight. I'd like to see that feature brought back so I don't have to have my card with me when booking a flight. Overall nice looking app, not great function.",Negative
"New app. New teething problems. Want to add your boarding pass? It's hidden in the more section. Which btw does not work today. Hopefully soon? App says my phone number country code is wrong and go into the web to fix it. Except it's fine and in the profile. Clearly QA failed to check data parsing. The previous app was great by comparison. AC, you need to test and beta your code more before throwing it over the wall and on your customers heads.",Negative
"What happened to the app? It feels as though half the functionality has been stripped out - I can log in to my Aeroplan but other than setting my personal information, what is the point of this?",Negative
Won't show arrival terminal nor seats assigned which is fairly useless.,Negative
"Was able to find my itinerary. After opening the app though it forgot everything and now it can't be found again. Tried signing up through AeroPlan hoping to add it online - very slow process, up to 30 minutes for a verification code?! And wasn't able to find the flight info anyways. Don't understand the value of any of these tools.",Negative
"App was ok till the last update. Unable to sign in so does not allow to link flights booked. Unable to add altitude card details so boarding passes do not carry Altitude Status .. UX is going down .. Edit 1 - The new app sucks at levels new even for Air Canada. The QA should really should ask for money back from his/her school. Cannot check in, cannot import boarding pass if checked in online, no connectivity to Altitude Plan. Please plant a few trees every week for use of paper boarding passes.",Negative
"The new interface is terrible. It has forgotten all of my information, doesn't automatically pull my bookings, etc. So far I've been unable to check in for my flights since the app was changed and have to check in on the web from my desktop or at the airport.",Negative
"Notably less useful than other airline apps. App required me to input record numbers for check-in and for boarding pass even though I was logged in and it should know what flights I have. Also, the check-in process failed repeatedly. Dev team needs to focus more on UX.",Negative
"The new Air Canada app loses most of the features of the app it replaced. The only saving grace at the moment is the app responds much faster now, probably due to better coding and integration with the new reservation system. When all the features return it will be better.",Negative
Check in is not working on the app since the last update. AC staff at airport counters have mention many traveler have the same experience.,Negative
"Just go to the mobile website, this app sucks. Wont let you check in, boarding passes work once in a while. It's just a slow goofy, semi functioning app. If they made some tweaks and things worked properly, it would be a great app",Negative
"Many options on the app, unfortunetly none is working. Always receive a message : ""sorry it's embarassing but this option don't work"". Well at least you try but next time try to put more effort in the funtionality and less in emoji in your error message",Negative
"The new app seems to constantly lose my boarding pass for return legs. Whenever on a trip, I can only ever get access to my outbound boarding pass even though it may be from several days in the past.",Negative
Horrible app since update....cant enter my aeroplan number. Every time i try to enter the number it logs me out instantly telling me to log back in and it does the same thing over and over again.,Negative
"Useless app. If you want to do more than just view your itinerary and have an electronic boarding pass, forget it, just use their website and save yourself your storage space.",Negative
Updating to the newest version wiped out all of the flight info I had saved in the previous version. I had to find all the reservation numbers and reload them all in the updated app.,Negative
"6 month ago I gave a 1 to AC app, it was a mess.... Now it's getting better and better and I use it daily without any problem. Still slow and the waiting should be manage better. Next step the visual which is minimal. Keep it up",Negative
"The flow is completely wrong and unintuitive. Check-in and boarding passes under ""More"", Really? Notifications now limited to one option. All or nothing choice. And calendar integration, disapeared? Or just just hidden many layers down in a menu item. UPDATED to 3 starts from 1 because of improvements described below. Calendar synch is half there hidden a few layers down but has to be trigged manually for each trips. Still not intuitive.",Negative
Their User interface is not the best but it works... Most of the time. Just to be safe always print your boarding pass. Also screen capture you boarding pass. They should explain it abit better. The app is tied to your account. Both have to match in order for it to work well. The app works but it is not very intuitive.,Negative
Pretty good app but I find it ridiculous that it orders boarding passes with the oldest on top. I have to scroll through many old boarding passes to get to the one I need,Negative
"Would think that you can add Star Alliance loyalty program number, not everyone wants Aeroplan points..... Also can't add reservations ... Need to fix this.",Negative
UPDATED: March 17th. Finally can add existing reservations. Let's give it a month and see if it gets more than 3 stars.,Negative
"Is there any way I can select the seat from the app before check-in? The seat selection feature was there in old app version, but I cant find it in the new app version.",Negative
"Over all good but, could be better for sure..",Negative
I was surprised to see that there was no biometric authentication option in this new update(Nov 2019). I wish they bring it back! Should have more than just three airport maps or atleast list all the lounges and AC facilities around the globe with an option to purchase one-time passes in the app. Integration with Google services like Google Pay to store the boarding passes and Calendar sync for trips. The developer should also consider combining the Rouge Player app with this one.,Negative
"The new app is not pleasing, I was asked to be a participant in the beta but the download never worked in the first place. The old app was great either but I'm hoping that there is some upgrades in the future. Integration with altitude is Zero it seems. Not sure what the big plan is for the future but I hope we step it up a bit.",Negative
"App requires start through the Google Play only. No indcation of altitude status. It would be helpf to have status indication instaed having plastic card. - helpful to have indication of gate for boarding; luggage carousel when arrived. - also would be cool to have boarding started notification and also an option to identify yourself (fot example when boarding already started, but you still have distance to walk to the gate...) - Indication of check-in/luggage drop-off counters would be useful.",Negative
Missing the time until next flight (hour and minutes) on the new app.. the old one had it and it was great when you had delays and tight connections. This information should be located on the first tab when the app is open. Please add this feature back,Negative
"sorta ok but some procedures aren't intuitive. looks like programmers never 'test drove' this thing. and AC is VERY slow in announcing flight delays & cancellations,lll & equipment & gate changes. WITH DUMB NOV 2019 APP UPDATE CAN ONLY SEARCH FLIGHTS UP TO THREE DAYS IN ADVANCE!!!!",Negative
This new update keeps crashing. Really great news for me as I have a flight in 6 hours and can't retrieve my boarding pass. Well done AC.,Negative
"Latest version of the app (v 5.0.1, 2019-11-15) force closes immediately after opening app. App is currently unusable. Using a Pixel 2XL on Android 10. Please fix the app.",Negative
"The new app looks like a great improvement, all except one huge issue. It does not bring over previously saved trips. Huge annoyance, that is a easy fix for the developers.",Negative
This version of the app seems to be a shell of it's former self. It works maybe 1/2 of the time.,Negative
App is negligible in quality since update. Used to show gate and relevant info but not anymore. Please consider a valuable update that is beneficial to the user community,Negative
There are continued bugs with partner elite status not being recognised and seat assignment issues.,Negative
Not saving trip bookings have to re-add every time i assume it will impact flight notifications,Negative
It should not take 3 taps to get your boarding pass.,Negative
It still does not look finnished. It has no flow to it,Negative
"So the new update now deletes my address and credit card number every time. Huge pain. Please fix. Really big fan of bringing the calendar sync option back. Thank you. That really helps with my planning for conference call and also looking back to see which cities I was in on which days. Love to see the calendar info include a little more information like the terminal number, maybe the comments could show the recommended check in times. Good progress.",Negative
The old app was better and had better functionality,Negative
"I use this regularly to show my boarding pass, but this app is very unstable. The looks have improved a lot through the ages, but not performance.",Negative
"Not sure what has changed recently, but this app no longer sends digital boarding cards via text or notifications. Also what really has me disappointed is the Air Canada app for android wear os no longer works and has disappeared off the Google Play Store. The wear os app was extremely helpful with the availability of having my boarding pass on my watch, notifications of flight changes and count down to boarding displayed along with gate number. It's all gone. Please make this available once again as it was such a great traveling tool, especially for people like myself that travel very often. Please make compatiable with Fossil Q Explorist again",Negative
"the app will say it has no connection if it is sent to the background and brought back again. as far as Air Canada is concerned, i will not be flying with them again. on international flights they make you pay for your luggage. if you have a long layover, they make you get your luggage and re check it and make you pay another fee. so for 2 suitcases it cost me 240 dollars each way. 120 each time we had to check in our luggage. i will stick with air new zealand.",Negative
"While waiting as a restuarant for my order, I had to change my Air Canada account password to confirm my booking, so when I changed it, it brought me back to the original booking for me to confirm. When I confirmed the booking, I choose my seat on the flight and only then had I realized that changing my password had brought me to two different bookings for the exact same flight and date had been both confirmed. I was left with $9 on my bank card and was humiliated trying to explain to the waitress at the restuarant that I couldn't pay for my lunch because this app had double booked and double charged me after simply changing my password. Please fix the app so the same humiliation doesn't happen to anybody else? Still waiting for my refund to go on my bank card...",Negative
"I'm having issues recently. The error I get is the app doesn't connect to a network whether it's wifi or phone network. Tried installing the app multiple times, same problem. Cannot connect to network. Please help.",Negative
Some things work well. But the chekin process is full of bugs. Seats won't carry to flight. Group notification will ONLY take the first person. Changing a person checkin will auto assign individual notification using another peraon's email. And I'm just getting started. A little QA wouldn't hurt.,Negative
I am disappointed with this app! good thing i had screenshot my boarding pass. Went to the airport and went to the original gate only to find out that they have switched to another gate. I could not get this new information because every time i click to view boarding pass app crashes.,Negative 
