Test Case ID,Test Run Id,Failed Steps,Exception Name,Execution Time for test step,Predecessor TestCase ID,Successor TestCase ID,Buckets Items
457,122,8.2,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:23.9,457,457,Automation Issue
457,122,8.3,"TimeoutException: Message: timeout(Session info: chrome=71.0.3578.98)(Driver info: chromedriver=2.42.591088 (7b2b2dca23cca0862f674758c9a3933e685c27d5),platform=Windows NT 10.0.17763 x86_64)",16:23.9,457,457,Timing Exception
457,122,8.4,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:24.0,457,457,Automation Issue
457,122,8.5,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:24.0,457,457,Automation Issue
457,122,8.6,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:24.0,457,457,Automation Issue
457,122,9.1,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:24.1,457,457,Automation Issue
457,122,9.2,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:24.2,457,457,Automation Issue
457,122,9.6,org.openqa.selenium.NoSuchFrameException: Cant not find the frame,16:24.3,457,457,Automation Issue
457,122,9.7,org.openqa.selenium.NoSuchFrameException: Cant not find the frame,16:24.4,457,457,Automation Issue
457,122,9.8,org.openqa.selenium.NoSuchFrameException: Cant not find the frame,16:24.4,457,457,Automation Issue
457,122,9.1,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:24.4,457,457,Automation Issue
457,122,9.12,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:24.5,457,457,Automation Issue
457,122,9.13,org.openqa.selenium.StaleElementReferenceException,16:24.7,457,457,Application Issue
457,122,9.14,org.openqa.selenium.StaleElementReferenceException,16:24.8,457,457,Application Issue
457,122,9.15,org.openqa.selenium.StaleElementReferenceException,16:24.9,457,457,Application Issue
457,122,9.16,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:25.0,457,457,Automation Issue
457,122,10.1,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:25.2,457,457,Automation Issue
457,122,10.2,Verfication Failed. ElementNotVisibleException: {class='Data_policiy '},16:25.3,457,457,Application Issue
457,122,10.3,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:25.3,457,457,Automation Issue
457,122,10.4,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:25.4,457,457,Automation Issue
457,122,10.5,Verfication Failed. ElementNotVisibleException: {xpath=//*[@name='customer type']/option[1]},16:25.4,457,457,Application Issue
457,122,10.7,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:25.5,457,457,Automation Issue
457,122,10.8,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:25.5,457,457,Automation Issue
457,122,10.9,Verfication Failed. ElementNotVisibleException: {id='Submit'},16:25.6,457,457,Application Issue
457,122,10.1,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:25.6,457,457,Automation Issue
457,122,10.11,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:25.7,457,405,Automation Issue
405,122,5.7,ODBC Exception error: 40 - Could not open a connection to SQL Server,08:26.7,457,405,Infrastrature Issue
405,122,5.8,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",08:32.7,405,405,Automation Issue
405,122,5.9,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",08:33.7,405,405,Automation Issue
405,122,6.1,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",08:37.3,405,405,Automation Issue
405,122,6.2,Verification Failed: org.openqa.selenium.NoAlertPresent,08:38.3,405,405,Application Issue
405,122,6.3,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",08:45.1,405,405,Automation Issue
405,122,6.4,Command duration or timeout: 0 milliseconds,08:51.2,405,405,Timing Issue
405,122,6.5,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",08:52.1,405,405,Automation Issue
405,122,7.1,"WebApplicationException(String message, Throwable cause, Response.Status status)",08:55.8,405,405,Application Issue
405,122,7.4,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",09:09.3,405,405,Automation Issue
405,122,7.5,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",09:15.8,405,405,Automation Issue
405,122,7.6,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",09:16.5,405,405,Automation Issue
405,122,7.7,TimeLimitExceedEception: Message: timeout(Session info: chrome=64.0.3578.98),09:17.1,405,405,Timing Issue
405,122,7.8,TimeLimitExceedEception: Message: timeout(Session info: chrome=64.0.3578.98),09:18.5,405,405,Timing Issue
405,122,7.9,TimeLimitExceedEception: Message: timeout(Session info: chrome=64.0.3578.98),09:20.2,405,405,Timing Issue
405,122,7.1,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",09:23.2,405,405,Automation Issue
405,122,7.11,Unhandel data exception: unable to stroe the data,09:29.2,405,405,Data related Issue
405,122,7.12,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",09:35.3,405,405,Automation Issue
405,122,7.13,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",09:36.2,405,405,Automation Issue
405,122,7.14,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",09:38.2,405,405,Automation Issue
405,122,7.16,org.openqa.selenium.NoSuchSessionException: Cant not find the frame,09:38.4,405,405,Automation Issue
405,122,8.2,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",09:48.9,405,405,Automation Issue
405,122,8.3,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",09:54.3,405,405,Automation Issue
405,122,9.1,Policiy_Data:  Bent Larsen has been created and stored in DT_Policiy_data,10:03.2,405,405,Automation Issue
405,122,9.2,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",10:11.8,405,405,Automation Issue
405,122,9.6,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",10:18.0,405,405,Automation Issue
405,122,9.7,org.openqa.selenium.NoSuchSessionException: Cant not find the frame,10:23.9,405,405,Automation Issue
405,122,9.8,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",10:30.4,405,405,Automation Issue
405,122,9.1,org.openqa.selenium.NoSuchSessionException: Cant not find the frame,10:31.2,405,405,Automation Issue
405,122,9.12,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",10:31.9,405,405,Automation Issue
405,122,9.13,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",10:32.3,405,405,Automation Issue
405,122,9.14,Unhandel data exception: unable to stroe the data,10:39.5,405,405,Data related Issue
405,122,9.15,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",10:45.3,405,405,Automation Issue
405,122,9.16,Using of Method in appropriate time:illegalstatmentException,10:46.4,405,405,Application Issue
405,122,10.1,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",10:50.3,405,405,Automation Issue
405,122,10.2,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",10:51.0,405,405,Automation Issue
405,122,10.3,org.openqa.selenium.ElementNotSelectableException,10:57.2,405,405,Application Issue
405,122,10.4,Policiy_number:  Bent Larsen has been created and stored in DT_Policiy_number,11:03.5,405,405,Automation Issue
405,122,10.5,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",11:07.1,405,405,Automation Issue
405,122,10.7,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",11:14.2,405,405,Automation Issue
405,122,9.12,Unable to set date: java.time.DateTimeException,42:55.5,551,560,Timing Issue
405,122,10.9,"Unable to find object with specified locator (""Id""=""gw-south-panel"")",11:47.0,405,405,Automation Issue
405,122,10.1,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",11:48.0,405,405,Automation Issue
405,122,10.11,"Unable to find object with specified locator (""LinkText""=""Admin_customer"")",11:49.1,405,371,Automation Issue
371,122,9.3,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",54:29.2,405,371,Automation Issue
371,122,9.7,"Unable to find object with specified locator (""Class""=""TripAccommodation"")",54:29.3,371,371,Automation Issue
371,122,9.8,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",54:29.4,371,370,Automation Issue
370,122,9.3,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",58:18.5,371,370,Automation Issue
370,122,9.4,IndexOutOfRangeException,58:18.6,370,370,Application Issue
370,122,9.5,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",58:18.7,370,370,Automation Issue
370,122,9.6,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",58:18.7,370,370,Automation Issue
370,122,9.7,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",58:18.7,370,370,Automation Issue
370,122,9.8,"NoSuchFrameException(""Cannot find frame: "" Policy_Page);",58:18.8,370,369,Automation Issue
369,122,9.3,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",02:25.1,370,369,Automation Issue
369,122,9.4,"Verification Failed. Expected text: ""Step 4of 6: Customer data analysis claim"" Not found in element",02:25.1,369,369,Automation Issue
369,122,9.5,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",02:25.2,369,369,Automation Issue
369,122,9.8,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",02:26.5,369,431,Automation Issue
369,122,9.12,Unable to set date: java.time.DateTimeException,42:55.5,551,560,Timing Issue
431,122,11.9,"Unable to find object with specified locator (""Id""=""gw-south-panel-toggleMinMax_float"")",13:40.5,431,431,Automation Issue
431,122,11.11,"Verification Failed. Expected text: ""Straight Payment"" Not found in element",13:42.9,431,495,Automation Issue
495,122,10.2,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",18:12.3,431,495,Automation Issue
495,122,10.3,"Verification Failed. Expected value: ""Name:'Ide_GWC_FindPolicy' ""No such attribute",18:12.3,495,495,Application Issue
495,122,10.4,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",18:12.4,495,495,Automation Issue
495,122,10.5,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",18:12.4,495,495,Automation Issue
495,122,10.9,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",18:12.6,495,494,Automation Issue
494,122,10.2,"no such element: Unable to locate element: {""method"":""CssSelector"",""selector"":""div[id=""FindPolicyScreen-FNOLWizardFindPolicyPanelSet-PolicyResultLV-0-Insured""]/div""}",22:37.7,495,494,Automation Issue
494,122,10.3,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",22:37.7,494,494,Automation Issue
494,122,10.4,"no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//div[@id=""Date_Of_Policy_applied""]/div/div""}",22:37.8,494,494,Automation Issue
494,122,10.5,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",22:37.8,494,494,Automation Issue
494,122,10.9,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",22:38.0,494,505,Automation Issue
505,122,9.3,"Verification Failed. Expected text: ""Step 4 of 6: Add costs information"" Not found in element",26:26.2,494,505,Automation Issue
505,122,9.12,Unable to set date: java.time.DateTimeException,42:55.5,551,560,Timing Issue
505,122,10.4,org.openqa.selenium.ElementNotSelectableException,26:26.8,505,505,Application Issue
505,122,10.6,"Unable to find object with specified locator (""Id""=""FNOLWizard-FNOLWizard_FindPolicyScreen-FNOLWizardFindPolicyPanelSet-PolicyResultLV-0-selectButton"")",26:26.8,505,505,Automation Issue
550,122,9.12,Unable to set date: java.time.DateTimeException,42:55.5,551,560,Timing Issue
504,122,9.7,"Unable to find object with specified locator (""Name""=""TripGenericExpensePopup-ClaimGenetricExpenceDetailDV-ClaimTripOtherDetailDV-CompanyName"")",31:06.5,505,504,Automation Issue
504,122,10.3,"A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified)",31:07.0,504,504,Latency related issue
504,122,10.4,"Unable to find object with specified locator (""Id""=""FNOLWizard-FNOLWizard_FindPolicyScreen-FNOLWizardFindPolicyPanelSet-PolicyResultLV-0-selectButton"")",31:07.1,504,504,Automation Issue
504,122,10.6,"Unable to find object with specified locator (""Id""=""FNOLWizard-FNOLWizard_FindPolicyScreen-FNOLWizardFindPolicyPanelSet-PolicyResultLV-0-selectButton"")",31:07.1,504,504,Automation Issue
504,122,10.8,"Unable to find object with specified locator (""Id""=""FNOLWizard-FNOLWizard_FindPolicyScreen-FNOLWizardFindPolicyPanelSet-PolicyResultLV-0-selectButton"")",31:07.2,504,501,Automation Issue
501,122,10.2,ODBC Exception error: 40 - Could not open a connection to SQL Server,35:16.6,504,499,Infrastrature Issue
499,122,6.2,"Provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified",37:37.3,501,500,Infrastrature Issue
500,122,10.2,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",41:55.2,499,497,Automation Issue
497,122,10.2,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",45:45.3,500,502,Automation Issue
502,122,10.2,"Verification Failed. Expected text: ""Step 4 of 6: Add costs information"" Not found in element",50:01.6,497,498,Automation Issue
498,122,10.2,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",54:12.9,502,496,Automation Issue
496,122,6.2,"Verification Failed. Expected text: ""Step 3 of 6: Add claim information"" Not found in element",56:30.1,498,503,Automation Issue
503,122,10.2,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",00:44.7,496,539,Automation Issue
539,122,9.3,org.openqa.selenium.ElementNotSelectableException,09:06.6,503,374,Application Issue
374,122,9.3,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",17:36.9,539,373,Automation Issue
373,122,9.3,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",21:16.7,374,372,Automation Issue
550,122,9.12,Unable to set date: java.time.DateTimeException,42:55.5,551,560,Timing Issue
388,122,10.11,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",30:19.6,372,421,Automation Issue
421,122,10.3,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",34:41.3,388,422,Automation Issue
422,122,10.3,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",38:31.5,421,318,Automation Issue
318,122,3.6,"no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//div[@id=""FNOLWizard-FNOLWizard_FindPolicyScreen-FNOLWizardFindPolicyPanelSet-PolicyResultLV-0-Insured""]/div/div""}",39:43.0,422,319,Automation Issue
319,122,10.11,  (Session info: chrome=75.0.3770.100),50:15.8,318,339,Timing Issue
339,122,10.11,"  (Driver info: chromedriver=2.43.600210 (68dcf5eebde37173d4027fa8635e332711d2874a),platform=Windows NT 10.0.17134 x86_64) ",55:46.7,319,338,Environment Issue
338,122,9.3,Command duration or timeout: 0 milliseconds,00:24.2,339,337,Timing Issue
337,122,9.3,"For documentation on this error, please visit: http://seleniumhq.org/exceptions/no_such_element.html",04:30.5,338,340,Latency related issue
340,122,10.11,"Build info: version: '3.12.0', revision: '7c6e0b3', time: '2018-05-08T15:15:03.216Z'",10:40.9,337,415,Environment Issue
415,122,10.11,"System info: host: 'WEDWSVMT01XADU', ip: '10.94.133.25', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '1.8.0_211'",40:50.1,340,417,Latency related issue
417,122,10.11,Driver info: org.openqa.selenium.chrome.ChromeDriver,46:46.8,415,416,Environment Issue
416,122,10.11,"Capabilities {acceptInsecureCerts: false, acceptSslCerts: false, applicationCacheEnabled: false, browserConnectionEnabled: false, browserName: chrome, chrome: {chromedriverVersion: 2.43.600210 (68dcf5eebde371..., userDataDir: C:\Users\t01xadu\AppData\Lo...}, cssSelectorsEnabled: true, databaseEnabled: false, goog:chromeOptions: {debuggerAddress: localhost:62928}, handlesAlerts: true, hasTouchScreen: false, javascriptEnabled: true, locationContextEnabled: true, mobileEmulationEnabled: false, nativeEvents: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: XP, platformName: XP, rotatable: false, setWindowRect: true, takesHeapSnapshot: true, takesScreenshot: true, unexpectedAlertBehaviour: , unhandledPromptBehavior: , version: 75.0.3770.100, webStorageEnabled: true}",52:38.7,417,423,Environment Issue
353,122,9.3,"Element info: {Using=xpath, value=//div[@id=""FNOLWizard-FNOLWizard_FindPolicyScreen-FNOLWizardFindPolicyPanelSet-PolicyResultLV-0-Insured""]/div/div}",05:32.2,423,355,Automation Issue
355,122,9.3,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",09:29.1,353,354,Automation Issue
354,122,9.3,"Verification Failed. Expected text: ""Straight Payment"" Not found in element",13:27.5,355,424,Automation Issue
424,122,10.3,"A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)",34:43.5,354,380,Infrastrature Issue
380,122,9.3,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",38:34.1,424,378,Automation Issue
378,122,9.3,"Verification Failed. Expected text: ""Straight Payment"" Not found in element",42:11.7,380,377,Automation Issue
377,122,9.3,"Verification Failed. Expected text: ""Straight Payment"" Not found in element",45:48.1,378,379,Automation Issue
379,122,9.3,org.openqa.selenium.ElementNotSelectableException,49:50.2,377,327,Application Issue
327,122,3.6,"Verification Failed. Expected text: ""Straight Payment"" Not found in element",59:29.1,379,327,Automation Issue
327,122,3.7,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",59:29.5,327,327,Automation Issue
327,122,5.5,IllegalKeyException,00:48.3,327,327,Data related Issue
327,122,6.2,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",01:08.8,327,326,Automation Issue
326,122,9.3,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",04:40.7,327,325,Automation Issue
325,122,5.1,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",08:02.8,326,328,Automation Issue
328,122,9.3,Verification Failed. Expected Number: 34253435 Airthematic Exception,11:49.3,325,329,Application Issue
329,122,10.11,"Verification Failed. Expected text: ""Step 5 of 3: Policy referenc number"" Not found in element",17:24.5,328,426,Automation Issue
426,122,5.1,"Verification Failed. Expected text: ""Step 4 of 4:  Claim"" Not found in element",20:49.0,329,425,Automation Issue
425,122,10.3,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",24:23.9,426,429,Automation Issue
429,122,10.3,Insured Name:  Bent Larsen has been created and stored in DT_INSURED_NAME,28:11.8,425,430,Automation Issue
430,122,10.3,Effective Date:  01-07-2014 has been created and stored in DT_EFFECTIVE_DATE,32:04.7,429,427,Timing Issue
427,122,10.3,Insured Name:  Bent Larsen has been created and stored in DT_INSURED_NAME,35:52.1,430,428,Automation Issue
428,122,10.3,"Verification Failed. Expected text: ""Step 3 of 6: Add claim information"" Not found in element",39:36.1,427,420,Automation Issue
420,122,10.3,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",43:37.5,428,331,Automation Issue
331,122,9.3,Fails to navigate step2,47:24.8,420,330,Automation Issue
330,122,9.3,"Verification Failed. Expected text: ""Step 4 of 6: Add costs information"" Not found in element",51:14.2,331,323,Automation Issue
323,122,9.3,"Verification Failed. Expected text: ""Straight Payment"" Not found in element",06:41.1,330,335,Automation Issue
335,122,9.3,Fails to navigate step2,10:27.7,323,334,Automation Issue
334,122,9.3,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",14:06.6,335,537,Automation Issue
537,122,9.3,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",17:40.5,334,538,Automation Issue
538,122,9.3,Envirnoment:ClassCastException,21:51.3,537,536,Environment Issue
536,122,9.3,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",25:58.5,538,482,Automation Issue
482,122,5.1,"org.openqa.selenium.InvalidSelectorException: (""Name""=""TripAccommodationAddressPopup-ClaimPolicyTripAccommodationDetailDV-ClaimTripAccommodationDetailDV-Description"")",29:34.6,536,491,Automation Issue
491,122,5.1,"org.openqa.selenium.InvalidSelectorException(""Class"":""Value Selection"")",38:02.3,482,523,Automation Issue
523,122,9.8,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",26:28.5,491,522,Automation Issue
522,122,9.8,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",31:15.7,523,531,Automation Issue
531,122,9.3,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",35:10.8,522,530,Automation Issue
530,122,9.8,org.openqa.selenium.ElementNotVisibleException:{class='Data_policiy '},40:02.5,531,527,Application Issue
527,122,9.8,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",44:43.4,530,526,Automation Issue
526,122,9.8,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",03:29.0,527,524,Automation Issue
528,122,9.8,"Verification Failed. Expected text: ""Step 6 of 6: Save and Assign Claim"" Not found in element",13:00.8,524,525,Automation Issue
525,122,9.8,Fails to navigate step2,17:36.4,528,532,Automation Issue
532,122,9.8,Fails to navigate step2,22:19.9,525,529,Automation Issue
529,122,9.8,"Unable to find object with specified locator (""Name""=""TripAccommodationAddressPopup-ClaimPolicyTripAccommodationDetailDV-ClaimTripAccommodationDetailDV-Description"")",27:34.7,532,432,Automation Issue
432,122,11.11,"Unable to find object with specified locator (""Name""=""TripAccommodationAddressPopup-ClaimPolicyTripAccommodationDetailDV-ClaimTripAccommodationDetailDV-Description"")",39:50.8,529,441,Automation Issue
441,122,11.11,"Verification Failed. Expected text: ""Step 4 of 6: Add costs information"" Not found in element",51:53.2,432,438,Automation Issue
438,122,11.11,"Unable to find object with specified locator (""Name""=""TripAccommodationAddressPopup-ClaimPolicyTripAccommodationDetailDV-ClaimTripAccommodationDetailDV-Description"")",58:00.4,441,437,Automation Issue
437,122,11.11,"Unable to find object with specified locator (""Name""=""TripAccommodationAddressPopup-ClaimPolicyTripAccommodationDetailDV-ClaimTripAccommodationDetailDV-Description"")",04:05.8,438,435,Automation Issue
435,122,11.11,"Unable to find object with specified locator (""LinkText""=""TripAccommodationAddress"")",10:05.5,437,439,Automation Issue
439,122,11.11,"Unable to find object with specified locator (""Name""=""TripAccommodationAddressPopup-ClaimPolicyTripAccommodationDetailDV-ClaimTripAccommodationDetailDV-Description"")",16:16.2,435,434,Automation Issue
434,122,11.11,SchemaViolationEception,28:21.3,439,440,Environment Issue
440,122,3.6,"Unable to find object with specified locator (""Name""=""TripAccommodationAddressPopup-ClaimPolicyTripAccommodationDetailDV-ClaimTripAccommodationDetailDV-Description"")",29:36.6,434,440,Automation Issue
440,122,3.7,"Unable to find object with specified locator (""Name""=""TripAccommodationAddressPopup-ClaimPolicyTripAccommodationDetailDV-ClaimTripAccommodationDetailDV-Description"")",29:37.0,440,440,Automation Issue
440,122,5.5,OperationNotSupportedException,30:53.0,440,440,Latency related issue
440,122,6.2,"Verification Failed. Expected text: ""Straight Payment"" Not found in element",31:11.9,440,480,Automation Issue
480,122,6.2,"Verification Failed. Expected text: ""Straight Payment"" Not found in element",33:24.2,440,551,Automation Issue
551,122,9.12,"Verification Failed. Expected text: ""Straight Payment"" Not found in element",38:03.2,480,550,Automation Issue
550,122,9.12,Unable to set date: java.time.DateTimeException,42:55.5,551,560,Timing Issue
560,122,9.3,"Verification Failed. Expected text: ""Straight Payment"" Not found in element",46:54.4,550,559,Automation Issue
559,122,9.12,"Verification Failed. Expected text: ""Straight Payment"" Not found in element",51:46.6,560,556,Automation Issue
556,122,9.12,"Verification Failed. Expected text: ""Straight Payment"" Not found in element",56:34.8,559,555,Automation Issue
555,122,9.12,Insured Name:  Bent Larsen has been created and stored in DT_INSURED_NAME,01:34.4,556,553,Automation Issue
553,122,9.12,Effective Date:  01-07-2014 has been created and stored in DT_EFFECTIVE_DATE,06:22.4,555,557,Timing Issue
557,122,9.12,NameAlreadyBoundException,11:00.4,553,554,Automation Issue
554,122,9.12,"Verification Failed. Expected text: ""Step 3 of 6: Add claim information"" Not found in element",15:37.1,557,552,Automation Issue
552,122,9.12,"Verification Failed. Expected text: ""Step 3 of 6: Add claim information"" Not found in element",20:19.5,554,558,Automation Issue
558,122,9.12,"Unable to find object with specified locator (""Id""=""FNOLWizard-Next"")",24:53.7,552,507,Automation Issue
507,122,10.2,"Unable to find object with specified locator (""Id""=""FNOLWizard-Next"")",28:58.5,558,506,Automation Issue
