,Review
33,"Flawless, really. Added bonus to be able to track the inbound flight that will become your outbound flight!"
34,Always great service. Accomadating every time I fly with AC.
35,"works great, a lot of improvements and ease of operation"
36,It's fine but not the best and it would be great if you could save your boarding pass to Google pay
37,the app makes it easy to track flights.
38,Usually very easy to use and check in for all my flights
39,Very easy to use and a very well crafted design.
40,Excellent tool to stay on top of your flights
41,"easy to use, like boarding pass access"
42,Wonderful App. Everything at your fingertips
43,Very useful app to keep one informed of essential travel information
44,Great and Easy App to use!!!
45,Works well and simple to use.
46,The new app is more user friendly
47,This app works great for me.
48,great app. occasional glitches but not bad
49,Very good airline
50,Fast and accurate flight information
51,"april 1 update, fixed crash issue"
52,"Good app, info when you need it."
53,Very pleasant staff. landing were so smooth without drama
54,Great
55,"Surprisingly good app, very convenient."
56,Very useful and handy.
57,Very useful app
58,Good for in flight entertainment
59,Very Good app but need more updates
60,Does what it says
61,I feel it's next generation flight reservation app.
62,Works gud
63,Like having my flights at my finger tips
64,"This app did not work for me for i am not able to afford the cost of any tickets, as a black man. I have a son."
65,Great help for sublo staffs as well
66,Leo blamed me for this app's low rating. To counter his baseless accusations I'll rate it 5 stars.
67,Very User friendly
68,Was very happy and will use them again
69,works well with Samsung!
70,My dad made this app
71,great app no problema
72,Check-in from Florida to Canada App worked great. Was afraid to try after reading reviews.??.
73,One of the best airlines ever
74,Excellent went.I am travelling
75,User friendly App.
76,The new app is lit. Keep rocking
77, love Air Canada. Are good people and very professional
78,Does what I need.
79,"don't use it that much, no opinion."
80,Easy to use
81,Works well so far
82,It's awesome
83,new experience is painless
84,very good thank you air Canada
85,is very helfull
86,not Too bad
87,good app actually
88,working again.
89,Extremely accurate
90,Not bad..a little slow. Needs better functionality of the check-in... Should auto populate the reference number like the old app
91,Optimal
92,Amazing app
93,Fantastic
94,Fast 
95,love it!
96,Seems to keep getting better. Try it again if you had issues with a previous version. Pretty good now.
97,I dont know what everyone is talking about. I was also affected by the hack and I was able to change my password. At first it didnt work but you just have to be patient with the app. The company gets hacked and now everyone is there giving 1 star reviews as if that is going to fix the issues that you have with not knowing how to follow the instructions that they give you. Its 2018 hackers are out there and things like these happen regularly. The company does it's best to protect your information but mistakes happen. I am sure all of you have made mistakes at your workplace. At least the company saw the problem and acted on it RIGHT AWAY. Only about 1% of us was affected by this. (Probably more) but they acted so only a handful of people were affected. The app is a great tool for anyone flying with air Canada.
98,This app was so helpful. I didn't have to use a search engine. I got all my flight info at my finger tips.
99,"I love the app and have no problems, they had a crash for a day and went back working fine... I bought my ticket last year via the app and they kept me up to date with notifications and all about every change and detail about my flight, I just bought my ticket with them and everything seems to be fine... With all that said it's very convenient for me ??"
100,"I don't know why there are complaints. This app is slick. Provides clear status, seats, upgrade info, boarding cards. Great!"
101,"I use this app every 2 weeks to book my hubby's tickets for work. Been using it over a year and no issues at all. However, would like to see the option to add travel insurance."
102,Its been decent so far
103,Good app overall. Just don't use auto Updateon it. It will lose your boarding pass when an Updateis performed. This happened to me right before boarding last week.
104,"This app lets me track multiple trips, flights, and boarding passes. Updating flights in real time. I love it."
105,Air Canada actually replied to my original posting and told me that the app could do this if you linked the accounts. This was not obvious to me so there is a problem there but it did work after I looked into it. The app does retrieve my information now. Way better. Thanks for responding. When a person signs in it should pull up their flights not ask you to submit tracking numbers - useless app - perhaps the writers should try using it.
106,"Honestly, I do not understand the huge ranting going on about this app. It is working very well, tracking my future flights, having my Aeroplan synced, etc. The features are working as expected and information is provided as expected. I am just removing 1 star for excessive unnecessary visual information... It can be simpler and even more intuitive for its purpose."
107,"AC can you tell me why I can't log into my account via the app? Works fine without the app. When I try to log into the app it says my email and password isn't valid. What's the point of having an app for convenience when you can't even log in. This is infuriating. EDIT: Thanks AC, that fixed my problem. Works fine now. ??"
108,Would appreciate being able to provide feedback on particular flights through the application.
109,"This is a good app. Has some intelligent input features like auto-capping names and addresses. It's easy to book flights, to manage the bookings, and to check-in. It is easy to retrieve bookings and to view the boarding pass. This is one of the best flight apps I've seen."
110,Works like it should. I manage and book my flights including checkin and seat selection.
111,App was easy to use to check in. Used it to board the flight. App was timely of flight and gate changes. App still needs improvements to even stand with the other airlines such as Delta. They have checked luggage tracking where they notify you when your luggage is ready on the carousel.
112,"This app has come a long way since it was first introduced a few years ago. Those first few iterations were pretty useless. But now this is a very good app and I highly recommend it to Air Canada users. You can view your e-boarding pass, get flight status, and get notifications on flight status all from this well designed app. Kudos to Air Canada for keeping with this app and making improvements. Good job."
113,Works great for all the things it's supposed to. Checked in for all my flights and used the app to board my flights. Ability to make changes to a booking right from the app are great. Can a be a little slow to load sometimes when it's fetching fresh I formation. But overall very responsive and snappy.
114,"Great app, well setup making it much easier to track your upcoming flights, manage bookings, and makes it much easier to get from security to check-in to airborne."
115,Very slick and has everything I need to book and board a flight.
116,great app...0 issues since having this app....love it
117,It does everything I want an airline app to do. It's intuitive and easy enough to use.
118,"Great app if you fly allot. I feel sorry for all the complainers on Google Play reviews. My answer to them, "" aw, muffins"""
119,I booked my flight and preregistered for my flight with this app no problem at all. Also have very easy access to my boarding pass.
120,"Smooth app, however, when viewing booked flights, flight duration doesn't take time zone changes in to consideration."
121,Recent updates are a significant improvement
122,Well this app is nice but it can get really annoying and it takes a long Time to find the good movies and I am 11 years old and I like horror Movies so add horror movies and I will delete my comment and rate It 5 stars.
123,Excellent work! Love the standby and import booking features!
124,"Saying network not available... while I have full WiFi signals Edit: got replied, thanks. It's issue with Android system webview. Why not to include such helpful information in the error message? At least I can try this app now. So increased to 3 stars. Edit2: I was not able to notice any important note on somewhere top during the frustration... Please show/pop it when users need it, such as in the error message, rather than let us check the network... misleadingly. But one more star for the CS."
125,"Just moved from BB OS10 to Android. The bb10 version was a ported Android App but was a bit more stable and connection was much faster. As for the app itself, it is very convenient for the frequent flyer. Love the standby and upgrade list function. Ability to book flights is straightforward."
126,I used this app and worked great and would have given it a 5 star until I upgraded it recently. Lost all my flight information and reservations and cannot retrieve this important information for my return home. I deleted the app and reinstalled it with no success. This leaves me stuck as can't use telephone for air Canada and they have no email to confirm flight information. This is very upsetting to say the least. Richard
127,"Horrible. I tracked a flight from last Saturday, and because they use the same flight number regularly, I am now getting notices about this week's flight. No way to delete it, or another flight number that I entered incorrectly. Had to uninstall and reinstall (because that's the only way you can track their flights). Total garbage."
128,This is the worst app I've ever used. It won't let me add boarding passes for an existing reservation and checked in for. It would not let me finish the check in process and I had to use the website on a laptop instead. What's the point of offering the app if it's useless?
129,"This app sucks so bad that you should consider using west jet. Every second booking the check in is not working, not on the cell phone or i pad. I will consider not flying air canada anymore because of there failing app. Convinence out the window back to old style check in."
130,Honestly if I can give this app a zero I would. Nothing but frustration with Air Canada and Aeroplan credentials. I travel often with many airlines and this app has to be the worst. The user interface absolutely useless. So frustrating.
131,Worked well until november changeover in software - never works now - need name and booking reference number to do anything - why cant they use flight number or aeroplan number as well - who carries their booking refernce number? Useless app now.
132,"This app NEVER works. All you get is ""sorry an error has occurred. We hope to resolve this issue soon. You can't download your boarding pass or check your flight status"
133,"Tapping ""continue"" button twice causes failure. I was unable to check-in using app. After I checked-in at air Canada web page I cannot add boarding passes to the app."
134,You went from being a useable app which allowed you to basically check everything about your flight to basically a bloated app that points to your website. Worst is you are forced to Updatethe app!
135,Doesn't work. Keeps giving me an error message every time I look up my flight. I have installed and re-installed several times to no avail.
136,What a garbage app. Doesn't Updateany information (Gate.. seat ) and it keeps giving me an error when adding the boarding pass. Such an embarrassment
137,"Like the other reviewers, the app is very difficult as every step taken results in a message informing me that the session is no longer available. Check-in online is easier but another barrier is the app is not compatible on any Samsung device (not available for download to our Samsung tablets from Google Play). This is not good if you have kids!!!!"
138,"Your app is as bad as your customer service. Absolutely garbage. Will not get another dollar from me after throwing up error codes, and TRIPLE CHARGING ME for a single ticket. And not even giving it to me. Then sitting on hold for 3 HOURS, WHILE OFFERING ""GREAT CUSTOMER SERVICE"" figure it out"
139,"Has some good features. Tends to crash. The low rating is from the crash that occurred at the critical moment of check in whilst sitting in a remote, non-english speaking, foreign (from our perspective) country."
140,"Sadly this app is close to useless. Air Canada used to provide information such as what gate your flight is at, but now nothing that is not on your original ticket, keeps prompting to check-in for flight, but I have."
141,Liked the old version. New one can't find my flights to check in most of the time and when it does usually says it failed check-in but seems to have worked anyways. Need to have standby / upgrade and track inbound all linked to boarding pass instead of having to go through multiple menus each time to look
142,"I am now in Dutch Carribean and AC website wouldn't let me check flight status for my outbound flight! As soon as I get to AC website, I get a pop-up blocking the screen that travellers from this country have to contact AC reservation... What about Canadians who are here on vacation and what flight status has to do with reservations? Whoever designed this website is an idiot! The Android app is no better, as soon as I start the app it forces me to upgrade and doesn't let me use existing version."
143,"Constantly issues. Mobile checkin doesnt work, always crashes, in flight demands doesnt load and recommend to change plugin mid-flight which cant happen. No advance seat selection can be made or eupgrades. The only good thing are the email and mobile nofitications"
144,"Downloaded this to check in, only to discover it times out on every attempt! Going to check in using an internet browser instead. Keeping this useless app just in case it notifies me of delays or cancellations (doubtful: won't even let me check in)"
145,Cannot get this stupid thing to work right. It keeps apologizing for errors but doesn't fix them
146,Previous app had calendar integration but this version does not which kind of defeats the purpose of having this app.
147,Like the new interface however it keeps crashing on my S10+ with Android 10. Only uninstall + reinstall fixes it.
148,"Doesn't show you what terminal you are supposed to go to in the Trips section of the app, you have to go to the boarding pass section and it's annoying af"
149,Barely passable as an app. Almost no functionality.
150,Looks alright but there is pertinent information that is no longer available. Digital altitude card doesn't seem to be an option anymore and when you click on your flight if it's going through the states used to inform you if you needed to clear customs. I'm currently going to Vancouver then Las Vegas from Calgary. No idea anymore where I'm going to customs.
151,"There are a few things you'd like expect this app to do well 1) Get to your boarding pass....Nope. most of the time I need to click more, boarding passes, then select the correct one (it shows all old ones). There is no easy notification direct to the boarding pass 2) Show your AC status....nope. Nowhere to be found. This caused me an issue when asking a lounge to print me a new boarding pass. They wouldn't without seeing my status... 3) Check in...nope. Most of the time it's missing"
152,"The app has taken an enormous step backwards in terms of functionally, design, and performance. Why cannot I edit the features of my flight booked through air canada? Why are boarding passes no longer automatically generated? Why is my name misspelled in the app? On Galaxy S10+ the scrolling animations stutter , menus lag ,and the general aesthetic of the app is visually unappealing. How can this be possible? What exactly was wrong with the previous app? This app feels and runs like its 2009."
153,"How do you check-in!? Without going to the more options section? It's under the My Flights section, but if you stop checking in and try again later it doesn't show the option to check-in. How useless! Also it doesn't store CC data for faster checkout when booking a flight. I'd like to see that feature brought back so I don't have to have my card with me when booking a flight. Overall nice looking app, not great function."
154,"New app. New teething problems. Want to add your boarding pass? It's hidden in the more section. Which btw does not work today. Hopefully soon? App says my phone number country code is wrong and go into the web to fix it. Except it's fine and in the profile. Clearly QA failed to check data parsing. The previous app was great by comparison. AC, you need to test and beta your code more before throwing it over the wall and on your customers heads."
155,"What happened to the app? It feels as though half the functionality has been stripped out - I can log in to my Aeroplan but other than setting my personal information, what is the point of this?"
156,Won't show arrival terminal nor seats assigned which is fairly useless.
157,"Was able to find my itinerary. After opening the app though it forgot everything and now it can't be found again. Tried signing up through AeroPlan hoping to add it online - very slow process, up to 30 minutes for a verification code?! And wasn't able to find the flight info anyways. Don't understand the value of any of these tools."
158,"App was ok till the last update. Unable to sign in so does not allow to link flights booked. Unable to add altitude card details so boarding passes do not carry Altitude Status .. UX is going down .. Edit 1 - The new app sucks at levels new even for Air Canada. The QA should really should ask for money back from his/her school. Cannot check in, cannot import boarding pass if checked in online, no connectivity to Altitude Plan. Please plant a few trees every week for use of paper boarding passes."
159,"The new interface is terrible. It has forgotten all of my information, doesn't automatically pull my bookings, etc. So far I've been unable to check in for my flights since the app was changed and have to check in on the web from my desktop or at the airport."
160,"Notably less useful than other airline apps. App required me to input record numbers for check-in and for boarding pass even though I was logged in and it should know what flights I have. Also, the check-in process failed repeatedly. Dev team needs to focus more on UX."
161,"The new Air Canada app loses most of the features of the app it replaced. The only saving grace at the moment is the app responds much faster now, probably due to better coding and integration with the new reservation system. When all the features return it will be better."
162,Check in is not working on the app since the last update. AC staff at airport counters have mention many traveler have the same experience.
163,"Just go to the mobile website, this app sucks. Wont let you check in, boarding passes work once in a while. It's just a slow goofy, semi functioning app. If they made some tweaks and things worked properly, it would be a great app"
164,"Many options on the app, unfortunetly none is working. Always receive a message : ""sorry it's embarassing but this option don't work"". Well at least you try but next time try to put more effort in the funtionality and less in emoji in your error message"
165,"The new app seems to constantly lose my boarding pass for return legs. Whenever on a trip, I can only ever get access to my outbound boarding pass even though it may be from several days in the past."
166,Horrible app since update....cant enter my aeroplan number. Every time i try to enter the number it logs me out instantly telling me to log back in and it does the same thing over and over again.
167,"Useless app. If you want to do more than just view your itinerary and have an electronic boarding pass, forget it, just use their website and save yourself your storage space."
168,Updating to the newest version wiped out all of the flight info I had saved in the previous version. I had to find all the reservation numbers and reload them all in the updated app.
169,"6 month ago I gave a 1 to AC app, it was a mess.... Now it's getting better and better and I use it daily without any problem. Still slow and the waiting should be manage better. Next step the visual which is minimal. Keep it up"
170,"The flow is completely wrong and unintuitive. Check-in and boarding passes under ""More"", Really? Notifications now limited to one option. All or nothing choice. And calendar integration, disapeared? Or just just hidden many layers down in a menu item. UPDATED to 3 starts from 1 because of improvements described below. Calendar synch is half there hidden a few layers down but has to be trigged manually for each trips. Still not intuitive."
171,Their User interface is not the best but it works... Most of the time. Just to be safe always print your boarding pass. Also screen capture you boarding pass. They should explain it abit better. The app is tied to your account. Both have to match in order for it to work well. The app works but it is not very intuitive.
172,Pretty good app but I find it ridiculous that it orders boarding passes with the oldest on top. I have to scroll through many old boarding passes to get to the one I need
173,"Would think that you can add Star Alliance loyalty program number, not everyone wants Aeroplan points..... Also can't add reservations ... Need to fix this."
174,UPDATED: March 17th. Finally can add existing reservations. Let's give it a month and see if it gets more than 3 stars.
175,"Is there any way I can select the seat from the app before check-in? The seat selection feature was there in old app version, but I cant find it in the new app version."
176,"Over all good but, could be better for sure.."
177,I was surprised to see that there was no biometric authentication option in this new update(Nov 2019). I wish they bring it back! Should have more than just three airport maps or atleast list all the lounges and AC facilities around the globe with an option to purchase one-time passes in the app. Integration with Google services like Google Pay to store the boarding passes and Calendar sync for trips. The developer should also consider combining the Rouge Player app with this one.
178,"The new app is not pleasing, I was asked to be a participant in the beta but the download never worked in the first place. The old app was great either but I'm hoping that there is some upgrades in the future. Integration with altitude is Zero it seems. Not sure what the big plan is for the future but I hope we step it up a bit."
179,"App requires start through the Google Play only. No indcation of altitude status. It would be helpf to have status indication instaed having plastic card. - helpful to have indication of gate for boarding; luggage carousel when arrived. - also would be cool to have boarding started notification and also an option to identify yourself (fot example when boarding already started, but you still have distance to walk to the gate...) - Indication of check-in/luggage drop-off counters would be useful."
180,Missing the time until next flight (hour and minutes) on the new app.. the old one had it and it was great when you had delays and tight connections. This information should be located on the first tab when the app is open. Please add this feature back
181,"sorta ok but some procedures aren't intuitive. looks like programmers never 'test drove' this thing. and AC is VERY slow in announcing flight delays & cancellations,lll & equipment & gate changes. WITH DUMB NOV 2019 APP UpdateCAN ONLY SEARCH FLIGHTS UP TO THREE DAYS IN ADVANCE!!!!"
182,This new Updatekeeps crashing. Really great news for me as I have a flight in 6 hours and can't retrieve my boarding pass. Well done AC.
183,"Latest version of the app (v 5.0.1, 2019-11-15) force closes immediately after opening app. App is currently unusable. Using a Pixel 2XL on Android 10. Please fix the app."
184,"The new app looks like a great improvement, all except one huge issue. It does not bring over previously saved trips. Huge annoyance, that is a easy fix for the developers."
185,This version of the app seems to be a shell of it's former self. It works maybe 1/2 of the time.
186,App is negligible in quality since update. Used to show gate and relevant info but not anymore. Please consider a valuable Updatethat is beneficial to the user community
187,There are continued bugs with partner elite status not being recognised and seat assignment issues.
188,Not saving trip bookings have to re-add every time i assume it will impact flight notifications
189,It should not take 3 taps to get your boarding pass.
190,It still does not look finnished. It has no flow to it
191,"So the new Updatenow deletes my address and credit card number every time. Huge pain. Please fix. Really big fan of bringing the calendar sync option back. Thank you. That really helps with my planning for conference call and also looking back to see which cities I was in on which days. Love to see the calendar info include a little more information like the terminal number, maybe the comments could show the recommended check in times. Good progress."
192,The old app was better and had better functionality
193,"I use this regularly to show my boarding pass, but this app is very unstable. The looks have improved a lot through the ages, but not performance."
194,"Not sure what has changed recently, but this app no longer sends digital boarding cards via text or notifications. Also what really has me disappointed is the Air Canada app for android wear os no longer works and has disappeared off the Google Play Store. The wear os app was extremely helpful with the availability of having my boarding pass on my watch, notifications of flight changes and count down to boarding displayed along with gate number. It's all gone. Please make this available once again as it was such a great traveling tool, especially for people like myself that travel very often. Please make compatiable with Fossil Q Explorist again"
195,"the app will say it has no connection if it is sent to the background and brought back again. as far as Air Canada is concerned, i will not be flying with them again. on international flights they make you pay for your luggage. if you have a long layover, they make you get your luggage and re check it and make you pay another fee. so for 2 suitcases it cost me 240 dollars each way. 120 each time we had to check in our luggage. i will stick with air new zealand."
196,"While waiting as a restuarant for my order, I had to change my Air Canada account password to confirm my booking, so when I changed it, it brought me back to the original booking for me to confirm. When I confirmed the booking, I choose my seat on the flight and only then had I realized that changing my password had brought me to two different bookings for the exact same flight and date had been both confirmed. I was left with $9 on my bank card and was humiliated trying to explain to the waitress at the restuarant that I couldn't pay for my lunch because this app had double booked and double charged me after simply changing my password. Please fix the app so the same humiliation doesn't happen to anybody else? Still waiting for my refund to go on my bank card..."
197,"I'm having issues recently. The error I get is the app doesn't connect to a network whether it's wifi or phone network. Tried installing the app multiple times, same problem. Cannot connect to network. Please help."
198,Some things work well. But the chekin process is full of bugs. Seats won't carry to flight. Group notification will ONLY take the first person. Changing a person checkin will auto assign individual notification using another peraon's email. And I'm just getting started. A little QA wouldn't hurt.
199,I am disappointed with this app! good thing i had screenshot my boarding pass. Went to the airport and went to the original gate only to find out that they have switched to another gate. I could not get this new information because every time i click to view boarding pass app crashes.
399,"It is not user friendly. It doesn't go to the next screen properly & sometimes makes using it a challenge. I have tried to make a reservation several times but when I select a flight, it takes me to another screen & wants me to upgrade. I can't get out of that upgrade screen to move forward. Ergo, I may have to switch airlines to book my trip.."
401,I think Delta has a great app. Thanks Delta!
402,Garbage - keeps losing my trips when I'm logged in
403,The app should display your upcoming flight details. Other airlines show your bookings in the app. This app requires you to enter the booking reference first to find your booking which means you have to store that info elsewhere. Should be a one stop shop for your Delta flight.
404,I have yet to remember an app that would be so confusing to use
405,Ease and dependable
406,Bad last version. Use the App for many years and always worked great. Now it's not showing my tickets anymore. I checked in on the website and the app keeps asking for a check in. When you go through that it gives an error message at the end...and still no ticket. Horrible
407,Checking in and getting boarding passes went well but the app gave me several incorrect flight updates and sent me to the wrong baggage carousel. It consistently wouldn't recognize my e-mail as valid despite sending me emails to that address.
408,I can't download it My phone has a time out. I would have to sit and click download all day. It's saying 3. I would give it a 1. Love the airline. Hate the app.
409,"I always fly Delta, and their app makes flying with them even easier! I'm typing this sitting on my plane right now. I was lucky to actually make it on, Delta's app updated me constantly on what was going on with my flights so I was able to go straight from my VERY delayed flight to my next flight without having to stop at the board. Saving me that time allowed me to make it to the last of the boarding and I'm able to get to my destination on time. The app also updated me on my luggage so I know it's here with me on the plane and not going to some other destination or lost in transit. It has the digital boarding pass as well so you don't have to worry about losing it in the airport, I personally always print out my boarding pass as well (mostly as travel keepsakes). If you fly with Delta it really pays to have the app. It just makes your whole trip so much smoother."
410,"Generally a decent app for going paperless which is nice. However, not a single time I have attempt to purchase a mile booster or make any purchases of any kind through the app have I been able to complete the purchase. I'm always faced with a service is unavailable type prompt and because of this Delta has missed out on much of my money, Lol. I will never make the extra effort to use a computer to complete this or purchase anything in person. As a pretty stereo typical millennial, I can tell you that you are missing out on a lot of money Delta by not having a working app. You do some much else so well but this is for sure an important piece of the puzzle. Figure it out please."
411,"This app is far and away the best airline app out there. When my flight was delayed, the app immediately offered to switch me to an earlier flight and offered four suggestions. The service was immediate, and far exceeded anything I could have gotten at the gate or the check-in counter. Delta has also really streamlined the check-in process for the app. All I have to do is acknowledge that I can't bring dangerous materials. Where other airlines use the check-in process to try and sell you upgrades, Delta has simply streamlined theres for efficiency. I'm consistently impressed by this application."
412,"App continually crashes. More often than not, I can't even make a reservation. My reservation has been lost along with my boarding pass at the most inconvenient times. Better get a hard copy of your boarding pass because you can't depend on the app having it."
413,Love delta best airline!
414,"We all need one primary thing from an airline app, and that's our boarding pass. This is not immediately nor really available from the app. It was easier to use their clunky website and get my boarding passes texts to my phone. I've never uninstalled an app so fast, never found an app so useless. It looks like it's loaded with features, yet nothing I need is contained within."
415,"The app is a bit frustrating really. On my phone the dialogue boxes don't line up in the frame, so you can't select anything, I have to go in as a guest, because it doesn't accept my account information, and when I do things like reset my password, the app says that the functionality is unavailable and to try again later. Dissappointed. Apps like this can be a great help when traveling, and just make things so much more simple. Hoping these get fixed."
416,"I've used this app for years, and it's always been great. Now, with my. latest trip it was showing my flight as being 'Today' even though it wasn't for 24 hours, and when I approached the gate to enter, the boarding pass disappeared. Not cool. It seems to have some issue with the Time Zone perhaps? Never had an issue until now. But, I could see how it could be a major issue if you are just entering security when it goes away -- luckily for. me I just had the gate agent print a boarding pass for me. Fix this!"
417,"Boarding passes for the right flight automatically showed as if I was flying a day early. Then, on the right day I had to search to find the boarding pass. It found it and I was able to use it to get through security. Then, literally while three steps from the gate the pass disappeared and told me I had no flights that day. Time to uninstall and find an airline that can manage their app."
418,Cool idea but execution is bad. It keeps losing by boarding passes.
419,"Terrible. half the time when you open the app to view your trip information, it doesn't pull it up. Rather, it asks for your flight number and confirmation. While you are already logged in... Why do they think I got this app? So i have that information handy! I can't tell you how many times i have stood in line to board, only to get to the front and need 5 minutes to look up my information. separately."
420,"Awful. Love the layout and the look, but it often crashes and/or just doesn't work. Trying to change my seat from the boarding pass screen ALWAYS crashes. Doing it from my trips usually works, but overall its no longer dependable even for a boarding pass. Too often, I've gotten into the boarding area (SKY btw) and the boarding pass disappears and i have to step aside and wait until the gate agent can manually check me in. By then they've boarded the whole plane, it's just ridiculous."
421,"Oooweee, I'm a bit new to Delta and this is my first time using the app. It is some hot garbage. Can't just view my trip without inputting conf#, try to check in but get the ""one of the legs of your trip requires a gate agent"" but it keeps kicking me back, so no mobile boarding pass. Gate changed and 20 min later we're still waiting to take off; no updates on either from the app. But I can ""track"" my bag! ?? What a turd."
422,"The phone app is great, the WearOS app not so much. The WearOS app will stay on and not show the boarding pass well (white screen most of the time and not the QR boarding pass code). Also, with the new WearOS 2.0 upgrade, this app caused the watch to constantly crash this morning every 30-45 seconds. Uninstalling the watch app brought stability back to the watch."
423,"Okay help tool, don't depend on it. While I was flying, Delta sput me out on my transfer airport with 10 minutes until boarding at the opposite side of the airport and I still had to go through passport check. I know that is not the fault of the app, but it certainly didn't make it any easier that I had to hunt down an airport employee, that didn't send me away because of my young age, to ""discover"" what my boarding gate is, since the app didn't display it. It also ""forgot"" my flights..."
424,"Undo your changes! When my screen times out i have to relaunch the app. This is a huge inconvenience when boarding, going through security or even searching fights. This a relatively recent change that is a big pain. If I have the boarding pass up and the screen times out I should not have to go back to the beginning to relaunch the app and then wait for the QR code to pop up just to go through secure or boarding. Please go back to prior functionality that leaves you where you left off."
425,App requires a good deal more attention in order to make it functional. App regularly requires me to re-check in in order to access my boarding pass which has caused numerous frustrations while boarding in airports with poor connectivity. This is a major bug that needs to be addressed.
426,Awesome service great flights
427,"I rated the app one star for one reason. It doesn't save my boarding pass. It says i don't have any current trips and I have to search for it via my name and confirmation number every time I open the app. This is a huge pain while traveling in the airport because I have to keep pulling it up. The boarding pass and trip is such a basic thing it should not disappear from the app. Honestly, it created such an issue while going through security that I don't think I'll be flying Delta anymore."
428,The app hasn't been reliable for at least 3 months. You have to have paper boarding passes as a backup. I have been at the gate on a connecting flight and your boarding pass disappears. It says that you have no flights scheduled. Then you are holding up the line. It is very frustrating. I have reported the problems to counter personnel and gate personnel. Very unreliable.
429,"App never allowed me check-in; always had to use a laptop or desktop. App ""needs"" access to GPS location for some reason but couldn't possibly rely on phone's provider for datetime. My phone's datetime updates automatically by signals in time zones without having to enable GPS. App is seems slower now (June 2019) than in March of 2018. App runs even when I have no flights; unable to disable; removing until I need to fly again."
430,Site way complicated to navigate. Takes you all over but not where you wont. Needs to be way more of a simple design lay out
